PID,zuck_sensations,zuck_thrill,zuck_frightening,zuck_try,zuck_crazy,zuck_parties
2002,1,1,0,1,0,0
2005,1,1,1,0,0,0
2001,1,1,1,0,0,1
2004,0,0,1,0,0,0
2003,1,1,1,1,1,0
3001,1,0,0,1,0,0
3002,0,0,0,0,0,0
3004,1,1,1,1,1,0
1001,0,1,0,0,0,0
1002,1,0,1,1,0,0
2006,1,1,0,1,0,0
1005,1,1,1,1,0,1
1006,0,0,0,0,0,0
1018,0,0,1,0,1,0
1011,1,0,1,0,1,0
3007,1,1,1,1,1,1
1009,1,1,0,1,0,0
1017,1,1,1,1,1,1
1003,1,1,1,1,0,0
2007,1,1,1,0,0,0
1007,1,0,1,0,1,0
1014,1,1,1,0,1,1
1008,1,1,1,0,1,0
3003,0,0,0,1,0,1
3008,1,1,1,1,1,1
1004,1,1,0,1,1,0
1015,1,1,1,1,1,0
3009,1,1,0,1,1,0
1012,1,1,1,0,1,0
2009,1,1,1,1,0,0
3010,1,1,1,0,0,0
1016,0,0,1,0,0,0
3017,1,1,1,1,1,1
3014,1,0,1,1,1,0
3011,1,1,1,0,0,0
3013,1,0,1,0,1,0
3018,,,,,,
3020,1,0,1,1,0,1
3022,1,0,0,0,0,0
3015,1,1,1,1,0,1
3043,1,1,1,1,1,0
3019,1,1,1,1,1,0
3055,1,1,1,0,1,1
3044,1,0,1,0,0,0
3041,1,0,1,1,0,0
3039,1,1,1,0,1,0
3050,1,1,1,1,1,0
3030,1,1,1,1,1,0
3023,1,1,1,1,1,1
3045,1,1,1,1,1,1
3032,1,1,1,1,1,1
3054,1,0,0,1,0,1
3059,1,1,1,0,0,0
3061,1,1,1,0,0,0
3053,1,0,1,1,0,0
3037,1,0,0,0,0,0
3046,1,1,1,0,0,0
3058,1,1,0,0,0,1
3034,1,1,1,1,1,1
3062,1,1,1,0,0,0
3031,1,1,0,0,0,1
3038,0,1,0,0,1,1
1021,1,0,1,0,1,0
3036,1,1,0,1,1,1
3029,1,1,1,1,1,0
3048,1,0,1,1,0,1
3024,1,1,1,0,1,0
3026,1,1,1,1,1,1
3028,1,0,1,1,1,0
3027,1,1,1,1,1,1
3025,1,0,1,1,0,0
3049,1,1,1,0,1,0
3033,1,1,1,1,1,1
3040,0,1,0,1,1,1
3035,1,1,1,1,1,0
3057,0,0,1,0,0,0
3056,1,0,0,1,0,0
1019,0,1,0,0,1,1
1020,1,1,0,0,0,0
3064,1,1,1,1,1,1
3042,1,1,1,1,0,0
3047,1,0,0,1,0,0
3051,1,0,1,1,0,0
3114,,,,,,
3063,1,1,1,1,0,0
3065,1,0,1,1,0,0
3074,1,0,1,1,0,0
3068,1,1,1,1,0,1
3067,1,1,1,1,1,1
3066,1,1,1,1,0,0
3071,1,1,1,1,1,1
3095,1,0,1,1,0,0
3078,0,0,0,0,0,0
3088,0,1,0,0,1,1
3079,1,0,0,0,0,1
3111,1,1,1,1,1,0
3075,1,0,1,1,0,0
3080,1,1,0,0,0,0
3082,1,1,1,1,1,0
3083,1,0,0,1,0,1
3087,1,0,1,0,1,0
3081,1,1,1,0,1,0
3089,1,1,1,0,1,0
3084,1,0,0,1,1,0
3097,1,1,1,1,1,0
3073,1,0,0,0,0,0
3085,1,0,1,1,0,0
3090,1,0,1,0,0,0
3076,1,0,1,1,0,0
3069,1,1,0,1,0,0
3096,1,0,1,1,1,0
3110,1,1,0,1,1,0
3115,0,0,0,0,1,0
1022,1,1,1,1,1,0
1023,1,1,1,1,1,0
1024,1,1,1,1,1,0
1025,0,0,0,0,1,0
