PID,sex,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,sas_mean,yrbs_z_score_2000_3000,gender_now,participant_age,positiveriskfreq_mean,negativerisk_ever_mean,positiverisk_ever_mean,negativeriskfreq_mean,SocialUsage,ParasocialUsage,OverallUsage,zuckerman.mean,texi_workingmemory.sum,texi_inhibition.sum,bas.sum,barrets.sum,white,black,hispanic,asian,native,african,other,foraging
2001,1,28,6,4,2.8,-3.215494452,1,15,1.714285714,0.571428571,1,1,7,14,19,0.666666667,21,14,25,17,0,1,1,0,0,0,0,33.91
2003,2,13,3,4,1.7,-1.042716885,2,17,1.428571429,0,0.714285714,0,5,6,11,0.833333333,32,20,16,10,1,0,0,0,0,0,0,17.04
2005,2,18,5.666666667,2.5,1.9,-0.959616809,2,17,1.857142857,0.285714286,0.928571429,0.285714286,6,6,12,0.5,16,13,27,18,1,0,0,0,0,0,0,39.67
2006,2,5,4.333333333,2,1.6,-1.043386871,2,13,1.428571429,0,0.857142857,0,0,5,5,0.5,31,25,23,8,0,0,0,1,0,0,0,144.25
2007,2,16,5,4,1.3,0.389360521,2,17,1.357142857,0.571428571,0.857142857,1.142857143,6,9,14,0.5,21,17,24,13,0,1,0,0,0,0,0,13.37
2009,2,7,3,1,1.8,-0.999514558,2,13,0.5,0,0.5,0,0,7,7,0.666666667,22,18,30,15,1,0,0,0,0,0,0,21.72
2011,1,23,4.666666667,2.5,3.1,-0.372601189,1,15,1.571428571,0.428571429,0.928571429,1,7,9,16,0.333333333,8,12,23,16,0,1,1,0,1,0,0,31.82
2012,1,18,4.666666667,1.5,2.2,-1.043098326,1,16,0.785714286,0,0.642857143,0,6,12,16,0.166666667,24,17,24,15,0,0,0,1,0,0,0,47.00
2013,1,20,3,4,2.3,-1.043050235,1,15,1.857142857,0.142857143,0.857142857,0.428571429,7,13,20,0.666666667,19,21,25,11,0,0,0,1,0,0,0,49.38
2014,2,19,3.333333333,2.5,3.1,0.459566627,2,16,1.214285714,0.571428571,0.928571429,1,6,11,15,0.833333333,23,19,25,15,1,0,0,0,0,0,0,17.45
2015,2,22,5.333333333,7,3.6,-0.757048233,2,15,1.357142857,0.285714286,0.928571429,0.428571429,7,15,22,0.166666667,20,22,34,11,0,1,0,0,0,0,0,67.80
2016,1,25,5.666666667,4.5,3.6,-0.791451502,1,15,1.714285714,0.142857143,0.928571429,0.142857143,7,18,25,0.5,13,10,18,19,0,0,0,1,0,0,0,37.45
2017,2,29,6.333333333,2,3.4,-0.913306847,2,15,0.857142857,0.142857143,0.571428571,0.285714286,7,21,26,0.5,10,14,25,19,0,1,0,0,0,0,0,60.79
2018,1,26,5.666666667,4.5,2.1,-0.917082551,1,13,1.5,0.285714286,0.785714286,0.428571429,8,17,24,0.666666667,27,11,22,15,0,1,0,0,0,0,0,68.70
2019,1,23,4.333333333,5.5,3.2,-0.749398153,5,14,1.571428571,0.285714286,0.928571429,0.571428571,7,12,18,0.833333333,18,16,29,11,1,0,0,0,0,0,0,31.00
2020,1,42,7,7.5,4.5,-1.127693699,1,15,1,0.571428571,0.642857143,1.428571429,7,26,29,0.666666667,17,12,26,18,0,1,1,0,0,0,0,15.54
2021,2,12,4.333333333,1.5,2.1,-0.741482256,2,17,1.142857143,0.428571429,0.642857143,0.714285714,4,8,11,0.666666667,23,21,24,11,0,1,0,0,0,0,0,51.20
2022,2,34,5,4,2.1,-1.041781403,2,15,1.214285714,0.285714286,0.714285714,0.428571429,7,16,22,0,28,18,29,14,1,0,0,0,0,0,0,19.71
2023,1,38,6.666666667,2.5,4.1,-0.916842097,1,17,1.857142857,0.571428571,0.857142857,1.714285714,9,29,31,0.666666667,17,13,28,15,0,1,0,0,0,0,0,70.64
2024,1,19,4,3,3.1,-0.791066776,1,14,1.214285714,0.428571429,0.785714286,0.571428571,4,15,19,1,13,12,25,19,1,1,0,0,1,1,1,25.86
2026,2,3,1.333333333,1,1,-1.042425055,2,15,0.071428571,0,0.071428571,0,0,3,3,0,30,28,39,10,0,1,0,0,0,0,0,100.17
2027,1,25,4,4.5,2.5,-0.874740657,1,14,2,0.571428571,0.785714286,1.428571429,6,19,25,0.5,22,15,22,19,0,1,0,0,0,0,0,71.54
2028,2,25,4.666666667,1.5,1.8,-0.456999503,2,13,1.642857143,0.571428571,0.857142857,0.857142857,12,13,25,0.666666667,17,8,22,21,0,0,0,0,0,0,1,34.40
2029,2,15,5,4,3.9,-0.821041567,5,17,2,0.714285714,0.928571429,1.571428571,5,9,12,0.5,4,8,22,25,0,1,0,0,0,0,0,65.22
2030,1,14,4.666666667,3.5,2.4,-0.826852957,1,13,0.785714286,0.142857143,0.571428571,0.285714286,2,12,14,0.333333333,18,18,24,14,0,1,0,0,0,0,0,33.77
2031,2,20,5.333333333,2,2.2,-0.756296267,2,14,2.071428571,0.571428571,1,1.714285714,12,8,19,0.833333333,16,14,22,21,1,0,0,0,0,0,0,24.29
2032,2,15,4.666666667,3,2.1,-0.623045742,2,14,1.357142857,0.428571429,0.714285714,0.714285714,6,9,15,0.833333333,22,14,21,20,0,1,0,0,0,0,0,26.52
2033,1,24,3,1.5,3.2,-1.083997496,1,17,0.857142857,0.142857143,0.785714286,0.142857143,10,12,22,0.833333333,18,16,27,24,0,0,0,1,0,0,0,13.56
2034,2,24,5.333333333,3,2.5,0.885777203,2,17,2.428571429,0.857142857,1,2.428571429,8,13,19,0.833333333,22,16,32,15,0,1,1,0,0,0,0,36.39
2035,1,27,4.666666667,2,2.8,-0.706719623,1,14,1.285714286,0.285714286,0.857142857,0.428571429,8,19,27,0.5,21,19,25,17,0,1,0,0,0,0,0,23.50
2037,1,14,6.333333333,7,4.1,-0.91232213,1,13,1.857142857,0,0.928571429,0,3,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A
2038,1,19,5.666666667,4,3.6,-0.999938888,1,16,1.357142857,0.142857143,0.928571429,0.428571429,11,7,18,0.166666667,22,12,23,18,0,1,0,0,0,0,0,19.22
2039,2,17,5,2,2.8,-0.916072644,2,14,1.571428571,0.142857143,0.785714286,0.428571429,8,9,16,0.666666667,14,14,29,18,0,0,1,0,0,0,0,22.79
2040,1,8,3.333333333,2.5,2,-1.041751783,1,13,1.428571429,0.142857143,0.928571429,0.142857143,6,2,8,0.5,24,19,17,13,1,0,0,0,0,0,0,52.00
