MTES,impulsivity,ss,exploration,Risk Variety,Gender,Unnamed: 6,pnrt_pos,pnrt_neg,brp_hsn,mmi,Video Gaming,First Phone Age,Filter 1,Phone Hours/Day,social_score,parasocial_score
-0.353266319,-0.982497256,-1.99756,0.785,36.11111,1,,57.14286,37.5,22.22222,-0.94211,0,16.0,1,8.0,9,0
0.003022293,-0.820993884,-1.16423,-0.423863799,41.91919,2,,78.57143,62.5,11.11111,2.49928,2,13.5,1,2.0,9,5
-1.268972939,-0.982497256,-1.33089,0.122089806,42.92929,1,,78.57143,37.5,22.22222,-0.82116,0,12.5,1,3.0,9,2
-0.005865822,-1.305503999,-1.83089,1.488613442,42.67677,2,,57.14286,12.5,44.44444,-0.00087,2,15.0,1,6.5,10,6
0.135989622,0.176526941,-1.33089,-1.047035911,27.0202,1,,35.71429,25.0,22.22222,-0.73116,0,14.0,1,6.5,12,6
0.07418573,1.117046576,-0.99756,1.036745692,46.21212,2,,71.42857,37.5,33.33333,-0.70238,1,14.0,1,5.0,12,3
-1.09998172,-0.820993884,-1.66423,-0.074228191,16.91919,1,,35.71429,0.0,11.11111,-0.16438,0,17.0,1,2.5,2,5
-0.210468017,0.47103309,-1.66423,-0.033211613,48.48485,1,,64.28571,62.5,33.33333,-0.207,0,13.5,1,5.5,6,5
-0.824216088,-0.820993884,-1.83089,-0.214026759,33.83838,1,,57.14286,25.0,22.22222,-0.21521,0,13.0,1,3.666667,9,4
-0.068141144,-0.174980397,-1.66423,-0.698417096,37.12121,1,,35.71429,50.0,33.33333,0.979554,0,13.5,1,8.5,11,2
-0.246020479,0.794039833,-1.99756,1.658609972,46.21212,1,,64.28571,50.0,33.33333,4.820207,3,13.5,1,5.0,11,8
-0.166440356,-0.820993884,-1.66423,-0.731810495,32.82828,1,,71.42857,25.0,11.11111,0.811766,2,17.0,1,4.0,7,11
-0.806439857,-0.497987141,-1.66423,-1.449060449,51.76768,1,,57.14286,62.5,44.44444,-1.22283,0,15.0,1,3.0,8,1
-0.361683006,-0.013477026,-1.49756,-0.382478645,28.28283,1,,42.85714,50.0,11.11111,2.079495,0,12.5,1,8.0,5,6
