pid_assignment,pnrt_audition,pnrt_newclub,pnrt_phone,pnrt_truth,pnrt_food,pnrt_cheat,pnrt_leader,pnrt_skip,pnrt_like,pnrt_challenge,pnrt_personal,pnrt_newlook,pnrt_snuckout,pnrt_newsocial,pnrt_secret,pnrt_sexy,pnrt_beliefs,pnrt_friend,pnrt_sport,pnrt_mph,pnrt_newpeople,pnrt_auditionfreq,pnrt_newclubfreq,pnrt_phonefreq,pnrt_truthfreq,pnrt_foodfreq,pnrt_cheatfreq,pnrt_leaderfreq,pnrt_skipfreq,pnrt_likefreq,pnrt_challengefreq,pnrt_personalfreq,pnrt_newlookfreq,pnrt_snuckoutfreq,pnrt_newsocialfreq,pnrt_secretfreq,pnrt_sexyfreq,pnrt_beliefsfreq,pnrt_friendfreq,pnrt_sportfreq,pnrt_mphfreq,pnrt_newpeoplefreq,pnrt_complete
2002.1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,,1,3,2,3,,3,1,2,1,,1,,1,1,,3,2,1,3,1,2
2005.1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,3,3,,3,,1,,1,1,,1,3,,3,2,2,,2,2
2001.1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,3,3,3,3,,1,1,2,2,,1,1,,2,1,2,1,2,2
2004.1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,2,,,2,1,,,1,1,2,,1,1,,1,,2,1,,,1,2
2003.1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,,3,3,,2,,1,,,,,2,1,,3,2,,,,2
3001.1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,,2,2,2,2,,,1,,2,,1,3,3,2,1,1,,3,2
3002.1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,,2,,3,,2,,1,1,,2,3,,2,2,1,1,1,,1,2
3006.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,1,3,3,1,,,,,,,,2,2,2,1,2,,3,2
3004.1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,,1,,1,1,1,,1,,1,1,,,1,2,,1,1,1,1,1,2
3005.1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,2,1,3,,1,,1,1,2,2,,2,2,1,2,2,2
1001.1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,2,,3,2,1,3,3,,2,,3,3,,2,2,,2,1,1,2,2,2
1002.1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,,,2,,1,,,1,,,,,,,1,1,1,,1,2
2006.1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,,2,3,,2,,,1,,1,,,2,,3,1,1,,2,2
